hTRI,java,83
kjRfoP,python,94
KhXf,python,56
VAytb,python,77
QXvn,python,99
jGNTql,html,72
JDkeB,C++,54
mWumj,html,87
ZqeOSv,java,63
RPV,java,65
FAug,python,88
kjRfoP,C++,54
KhXf,python,74
hTRI,java,96
dJruAL,python,94
hTRI,html,85
jGNTql,html,80
KBsbou,C++,83
nmwWP,python,53
zDPclC,java,62
YRhNw,html,83
gVw,python,72
KhXf,python,63
FAug,C++,86
KhXf,C++,54
ifNLzB,java,84
qOl,java,51
vWBbN,C++,64
LCF,html,91
ZqeOSv,html,64
RPV,C++,87
RPV,html,53
vWBbN,python,87
YRhNw,java,52
FAug,python,78
gVw,html,88
LCF,java,63
lfL,html,65
FAug,html,61
KBsbou,html,89
ifNLzB,C++,69
vWBbN,java,61
hTRI,python,54
QXvn,java,55
rIgeHN,C++,59
qOl,java,51
ijIB,java,92
LCF,python,67
YRhNw,java,55
YRhNw,html,66
JDkeB,python,77
YRhNw,python,69
LCF,C++,66
qOl,java,84
hTRI,html,60
ZqeOSv,html,78
lfL,python,55
KhXf,C++,83
nmwWP,html,57
gVw,java,100
VAytb,C++,74
lfL,C++,90
VAytb,C++,66
nmwWP,html,84
rIgeHN,C++,84
lfL,html,65
mWumj,python,62
LCF,html,70
Vgd,python,52
ZqeOSv,java,67
dJruAL,java,66
gVw,python,66
VAytb,java,76
ifNLzB,python,55
YRhNw,java,98
qOl,html,66
RPV,html,61
jGNTql,html,90
qOl,python,60
lfL,html,54
dJruAL,java,94
FAug,C++,84
KhXf,html,90
LCF,C++,96
gVw,C++,70
dJruAL,java,54
QXvn,java,50
kjRfoP,python,88
ifNLzB,python,80
ZqeOSv,C++,100
zDPclC,C++,81
mWumj,html,86
LCF,java,85
VAytb,C++,77
mWumj,html,74
nmwWP,java,92
LCF,C++,78
rIgeHN,html,94
mWumj,java,77
vWBbN,html,66
